1615859932,Thresh,Pantheon,Vayne,Velkoz,Nidalee,LeeSin,MasterYi,Ashe,Malzahar,Lulu,200
1635745243,Leblanc,Twitch,Yasuo,Kayn,Rakan,JarvanIV,Zed,Blitzcrank,Urgot,Ezreal,200
1599585316,Pyke,Ryze,Riven,Trundle,MissFortune,Nautilus,Akali,LeeSin,Vayne,Ezreal,200
1610669665,Morgana,Maokai,Kalista,Nocturne,Zed,Warwick,Jhin,Nasus,Ahri,Zyra,200
1601986558,Zyra,Twitch,Zed,Riven,Jinx,Morgana,Shen,Sivir,Nocturne,Xerath,100
1606679877,Zed,Graves,Riven,Caitlyn,Zyra,Mordekaiser,Sivir,Rengar,Fizz,Thresh,100
1605821690,Irelia,LeeSin,Morgana,Sylas,Jhin,Yasuo,Vi,Darius,Ezreal,Janna,100
1602417034,Graves,Brand,Lux,Ezreal,Illaoi,Lulu,Riven,Jinx,Malzahar,Rakan,100
1606711790,Blitzcrank,Kayle,Sivir,Malphite,Swain,Lucian,Lux,RekSai,Gangplank,Morgana,100
1606331818,Garen,Ziggs,Rakan,Twitch,MissFortune,Teemo,Jax,Kaisa,Soraka,Morgana,200
1600062606,Kindred,Pyke,Tristana,Riven,Katarina,Garen,LeeSin,Vayne,Veigar,Velkoz,200
1599543934,Nasus,Sejuani,Yasuo,Tristana,Khazix,Ezreal,MasterYi,Riven,Heimerdinger,Soraka,200
1615617710,Zed,Sivir,Pantheon,Thresh,JarvanIV,RekSai,Tristana,Katarina,Nami,Teemo,100
1599712092,Ezreal,Zilean,Pantheon,Garen,Blitzcrank,Nasus,Karthus,Yasuo,Vayne,Nautilus,200
1611610058,LeeSin,Pyke,Kaisa,Yasuo,Irelia,MasterYi,Ezreal,Zilean,Tristana,Katarina,100
1599509222,Sivir,Lulu,MasterYi,Riven,Veigar,Nautilus,Jinx,Nasus,Katarina,Taliyah,200
1610794087,Zed,Tristana,Yorick,Rengar,Soraka,Shen,Sivir,Fizz,Kayn,Morgana,100
1601540649,Vladimir,Jayce,Thresh,Amumu,Ashe,Poppy,Morgana,Vi,Lux,Caitlyn,200
1605516079,Diana,Brand,Tryndamere,Sivir,Garen,Blitzcrank,XinZhao,Kaisa,Teemo,Zed,100
1610706763,Ezreal,Pantheon,Fiora,Fizz,Zyra,Leblanc,Leona,Lucian,Kayn,Olaf,100
1601864507,Vi,Yasuo,Fiora,Brand,Jhin,Ezreal,Riven,LeeSin,Lulu,Veigar,100
1605904535,MissFortune,Viktor,Darius,Evelynn,Sona,MasterYi,Morgana,Urgot,Ahri,Ezreal,100
1600302056,Shaco,Riven,Xayah,Karma,Ryze,Alistar,Jhin,Nasus,Zac,Akali,200
1599740920,Kassadin,Jhin,Kindred,Renekton,Morgana,Khazix,Garen,Nami,Annie,Vayne,100
1602181520,Fizz,Vladimir,Blitzcrank,MasterYi,Kaisa,Caitlyn,Soraka,Tryndamere,Shaco,Zed,200
1634906022,Varus,Katarina,Shaco,Renekton,Sona,Sylas,Jhin,Morgana,Khazix,Diana,100
1599801689,Tristana,Bard,MasterYi,Ahri,Trundle,Yasuo,Ezreal,Zilean,Yorick,LeeSin,100
1606853869,Morgana,Nami,Vi,Caitlyn,Yasuo,Fiora,Vladimir,Ezreal,Graves,Blitzcrank,200
1615470048,Kalista,Akali,Riven,Thresh,Khazix,Sion,JarvanIV,Rakan,Sylas,Ezreal,100
1601842557,TahmKench,Kindred,Gangplank,Ahri,Kalista,Leona,Ekko,Sivir,Jayce,LeeSin,200
1635887717,Yasuo,Hecarim,Blitzcrank,Nasus,Varus,Karthus,Pyke,Kayn,Riven,Tristana,100
1605696896,MissFortune,MasterYi,Cassiopeia,Nasus,Morgana,Illaoi,Sona,Vayne,Graves,Yasuo,200
1606721741,MasterYi,Sona,Yasuo,Sivir,Kayle,Ashe,Zed,Pantheon,Riven,Pyke,100
1599045722,Lissandra,Nasus,MasterYi,Thresh,Jinx,Ezreal,Darius,LeeSin,Lux,Malzahar,200
1599469173,Velkoz,LeeSin,Illaoi,Zoe,Sivir,Vayne,Teemo,Karma,Vladimir,Olaf,200
1635759882,Kaisa,Kindred,Poppy,Katarina,Morgana,Illaoi,Draven,Veigar,Ashe,Khazix,200
1605967507,Lucian,Alistar,Illaoi,Kayn,Pantheon,Morgana,Sivir,Shen,Malzahar,Shaco,200
1599852319,Ekko,Lucian,Pyke,Lissandra,Kayn,Vi,Thresh,Corki,Ezreal,Yorick,100
1600306142,Ezreal,Sejuani,Zed,Sylas,Morgana,Xerath,Draven,Garen,Bard,MasterYi,100
1635663088,Karma,Caitlyn,Akali,Amumu,Yasuo,Jhin,Pantheon,Veigar,Gnar,Lulu,200
1634869643,Fizz,Nasus,Nami,Kaisa,JarvanIV,Ryze,Shen,Kindred,Lucian,Kled,100
1601811685,Annie,Nami,Lucian,Nasus,MasterYi,Ezreal,Rakan,Neeko,Garen,Nocturne,200
1602471311,Warwick,Ezreal,Yasuo,Lux,Soraka,Caitlyn,Ahri,Darius,Graves,Thresh,200
1635699916,Fizz,Vladimir,Caitlyn,Thresh,Tryndamere,Urgot,Irelia,Soraka,MasterYi,Ezreal,200
1598987724,Ezreal,Yorick,LeeSin,Lissandra,Leona,Caitlyn,Morgana,XinZhao,Zed,Karthus,100
1634811360,Tryndamere,Ezreal,LeeSin,Thresh,Syndra,Jax,Garen,Lux,Kassadin,Ashe,200
1600419375,Zilean,MissFortune,Darius,Leblanc,Shaco,Pyke,Ezreal,Orianna,Sylas,Tryndamere,100
1635857826,Karthus,Khazix,Gnar,Soraka,Varus,Orianna,MissFortune,Leona,MasterYi,Vayne,100
1611681731,Sivir,Neeko,Veigar,Yorick,JarvanIV,Fizz,Twitch,Ezreal,Kayle,Graves,100
1605489280,TahmKench,JarvanIV,Ezreal,Sona,Zed,Teemo,Lux,XinZhao,Caitlyn,Riven,100
1615883179,Xerath,Trundle,Anivia,Ashe,Neeko,Sivir,Yasuo,Urgot,Alistar,Kayn,100
1606614716,Kassadin,Twitch,Sivir,Blitzcrank,Teemo,Evelynn,Leblanc,Kayle,Lux,Ashe,100
1605941761,Veigar,Leona,Pantheon,MasterYi,Sivir,Nunu,MissFortune,Katarina,Morgana,Teemo,100
